trial_id,context,coh1,coh2,relevant_coh,irrelevant_coh,label,difficulty,final_q_coupled,final_q_decoupled
92,1,-0.15,0.7,0.7,-0.15,1.0,0.7,1.3720884,-0.018505055
93,0,0.3,0.15,0.3,0.15,1.0,0.3,0.931957,-0.030114219
94,1,0.15,0.15,0.15,0.15,1.0,0.15,0.6618512,-0.018505055
95,0,-0.7,-0.15,-0.7,-0.15,-1.0,0.7,-1.4077255,-0.030114219
96,0,0.3,0.3,0.3,0.3,1.0,0.3,0.567794,-0.030114219
97,0,0.3,-0.7,0.3,-0.7,1.0,0.3,0.75597286,-0.030114219
98,1,0.15,0.3,0.3,0.15,1.0,0.3,0.9945112,-0.018505055
99,1,0.5,0.5,0.5,0.5,1.0,0.5,1.1904174,-0.018505055
100,0,-0.3,0.3,-0.3,0.3,-1.0,0.3,-0.7573328,-0.030114219
101,1,0.3,-0.3,-0.3,0.3,-1.0,0.3,-0.7190564,-0.018505055
102,0,0.7,0.5,0.7,0.5,1.0,0.7,1.4782448,-0.030114219
103,1,-0.15,-0.15,-0.15,-0.15,-1.0,0.15,0.038884617,-0.018505055
104,1,0.5,0.5,0.5,0.5,1.0,0.5,1.3147023,-0.018505055
105,0,-0.3,0.3,-0.3,0.3,-1.0,0.3,-0.5548716,-0.030114219
106,1,0.7,-0.3,-0.3,0.7,-1.0,0.3,-0.37052155,-0.018505055
107,0,0.3,0.15,0.3,0.15,1.0,0.3,0.5658442,-0.030114219
108,1,-0.3,-0.3,-0.3,-0.3,-1.0,0.3,-0.4938047,-0.018505055
109,0,-0.3,-0.5,-0.3,-0.5,-1.0,0.3,-0.805673,-0.030114219
110,0,0.15,0.15,0.15,0.15,1.0,0.15,0.68625057,-0.030114219
111,0,-0.5,0.5,-0.5,0.5,-1.0,0.5,-1.0428696,-0.030114219
112,1,-0.3,0.7,0.7,-0.3,1.0,0.7,1.1500522,-0.018505055
113,0,0.7,0.7,0.7,0.7,1.0,0.7,1.8788462,-0.030114219
114,1,0.5,-0.5,-0.5,0.5,-1.0,0.5,-0.78639925,-0.018505055
115,1,0.15,0.5,0.5,0.15,1.0,0.5,1.262604,-0.018505055
116,0,0.7,-0.7,0.7,-0.7,1.0,0.7,1.2415342,-0.030114219
117,0,0.5,-0.5,0.5,-0.5,1.0,0.5,1.2415714,-0.030114219
118,0,-0.15,0.3,-0.15,0.3,-1.0,0.15,-0.61169434,-0.030114219
119,1,0.5,-0.5,-0.5,0.5,-1.0,0.5,-0.8244514,-0.018505055
120,0,0.5,0.3,0.5,0.3,1.0,0.5,1.1034073,-0.030114219
121,1,-0.7,-0.3,-0.3,-0.7,-1.0,0.3,-0.3683417,-0.018505055
122,0,0.5,-0.7,0.5,-0.7,1.0,0.5,0.9715392,-0.030114219
123,1,0.15,-0.5,-0.5,0.15,-1.0,0.5,-1.1062689,-0.018505055
124,0,0.7,-0.7,0.7,-0.7,1.0,0.7,1.1513298,-0.030114219
125,1,0.15,-0.15,-0.15,0.15,-1.0,0.15,-0.1062723,-0.018505055
126,1,0.15,0.5,0.5,0.15,1.0,0.5,1.2719623,-0.018505055
127,1,0.7,0.7,0.7,0.7,1.0,0.7,1.6865768,-0.018505055
128,1,0.15,-0.3,-0.3,0.15,-1.0,0.3,-0.5218611,-0.018505055
129,0,0.7,0.7,0.7,0.7,1.0,0.7,1.1814955,-0.030114219
130,1,0.3,0.5,0.5,0.3,1.0,0.5,1.1168681,-0.018505055
131,0,0.15,-0.3,0.15,-0.3,1.0,0.15,0.44190973,-0.030114219
132,0,-0.15,0.15,-0.15,0.15,-1.0,0.15,-0.42538184,-0.030114219
133,0,-0.3,0.15,-0.3,0.15,-1.0,0.3,-0.6627514,-0.030114219
134,1,0.3,0.5,0.5,0.3,1.0,0.5,1.4104174,-0.018505055
135,0,0.7,0.3,0.7,0.3,1.0,0.7,1.9662045,-0.030114219
136,0,-0.3,-0.5,-0.3,-0.5,-1.0,0.3,-0.47177482,-0.030114219
137,0,0.7,-0.3,0.7,-0.3,1.0,0.7,1.5533787,-0.030114219
138,1,0.3,0.15,0.15,0.3,1.0,0.15,0.21155348,-0.018505055
139,1,0.3,-0.7,-0.7,0.3,-1.0,0.7,-1.0074526,-0.018505055
140,1,0.5,0.5,0.5,0.5,1.0,0.5,1.1903987,-0.018505055
141,1,-0.3,-0.7,-0.7,-0.3,-1.0,0.7,-1.3005861,-0.018505055
142,1,-0.15,-0.3,-0.3,-0.15,-1.0,0.3,-0.68903095,-0.018505055
143,0,-0.3,0.15,-0.3,0.15,-1.0,0.3,-0.70910007,-0.030114219
144,0,-0.7,-0.15,-0.7,-0.15,-1.0,0.7,-1.5028509,-0.030114219
145,0,-0.7,0.5,-0.7,0.5,-1.0,0.7,-1.1381835,-0.030114219
146,0,-0.3,0.7,-0.3,0.7,-1.0,0.3,-0.79083055,-0.030114219
147,0,0.5,-0.15,0.5,-0.15,1.0,0.5,1.5353175,-0.030114219
148,1,0.7,0.7,0.7,0.7,1.0,0.7,1.5626965,-0.018505055
149,0,0.7,0.15,0.7,0.15,1.0,0.7,1.8267393,-0.030114219
150,1,0.5,0.15,0.15,0.5,1.0,0.15,0.3759856,-0.018505055
151,1,0.7,0.3,0.3,0.7,1.0,0.3,0.78501225,-0.018505055
152,1,-0.5,-0.3,-0.3,-0.5,-1.0,0.3,-0.24007885,-0.018505055
153,0,-0.15,-0.3,-0.15,-0.3,-1.0,0.15,-0.205518,-0.030114219
154,1,-0.15,0.5,0.5,-0.15,1.0,0.5,0.99622285,-0.018505055
155,1,-0.15,0.5,0.5,-0.15,1.0,0.5,1.1871141,-0.018505055
156,0,-0.3,0.7,-0.3,0.7,-1.0,0.3,-0.75464046,-0.030114219
157,1,-0.3,-0.7,-0.7,-0.3,-1.0,0.7,-1.3031445,-0.018505055
158,0,-0.15,-0.5,-0.15,-0.5,-1.0,0.15,0.033463214,-0.030114219
159,0,-0.7,0.3,-0.7,0.3,-1.0,0.7,-1.4015317,-0.030114219
160,1,0.15,-0.7,-0.7,0.15,-1.0,0.7,-1.046631,-0.018505055
161,0,-0.15,0.7,-0.15,0.7,-1.0,0.15,-0.5207081,-0.030114219
162,1,0.3,0.7,0.7,0.3,1.0,0.7,1.5480257,-0.018505055
163,0,-0.3,-0.7,-0.3,-0.7,-1.0,0.3,-0.5316681,-0.030114219
164,0,0.7,0.3,0.7,0.3,1.0,0.7,1.7684356,-0.030114219
165,0,-0.15,-0.3,-0.15,-0.3,-1.0,0.15,-0.1434096,-0.030114219
166,1,-0.3,0.5,0.5,-0.3,1.0,0.5,1.0060167,-0.018505055
167,1,-0.3,-0.15,-0.15,-0.3,-1.0,0.15,0.01045654,-0.018505055
168,0,-0.5,0.15,-0.5,0.15,-1.0,0.5,-1.0052506,-0.030114219
169,0,0.5,0.7,0.5,0.7,1.0,0.5,1.1043649,-0.030114219
170,1,0.7,-0.3,-0.3,0.7,-1.0,0.3,-0.33331954,-0.018505055
171,0,-0.3,-0.5,-0.3,-0.5,-1.0,0.3,-0.6114345,-0.030114219
172,1,0.3,-0.3,-0.3,0.3,-1.0,0.3,-0.6170502,-0.018505055
