trial_id,final_abs_q,fixation_d_auc,fixation_d_peak,fixation_d_mean,stimulus_d_auc,stimulus_d_peak,stimulus_d_mean,delay_d_auc,delay_d_peak,delay_d_mean,response_d_auc,response_d_peak,response_d_mean,d_onset,d_peak_time,d_auc_total,fixation_m_auc,fixation_m_peak,fixation_m_mean,stimulus_m_auc,stimulus_m_peak,stimulus_m_mean,delay_m_auc,delay_m_peak,delay_m_mean,response_m_auc,response_m_peak,response_m_mean,m_onset,m_peak_time,m_auc_total,q_onset,q_peak_time,coherence,label,seq_len,difficulty
10,0.9998355507850647,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.13843518495559692,0.027313172817230225,0.007606384344398975,0.33049675822257996,0.03433471918106079,0.01758415624499321,0.1169954240322113,0.011929631233215332,0.008388320915400982,22,33,0.6269692182540894,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.23178920149803162,0.04097912460565567,0.012614493258297443,4.173923492431641,0.6403045654296875,0.22580483555793762,12.995179176330566,1.1043293476104736,0.9260579347610474,41,64,18.107158660888672,26,49,-0.4000000059604645,-1.0,65.0,0.4000000059604645
11,1.0013997554779053,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.15005648136138916,0.03037405014038086,0.008263971656560898,0.28988417983055115,0.032570868730545044,0.015591290779411793,0.10914891958236694,0.011381387710571289,0.007849697023630142,22,31,0.5921429991722107,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.2791391611099243,0.0483086034655571,0.015165232121944427,5.56063175201416,0.7361029386520386,0.297660768032074,13.780434608459473,1.1374661922454834,0.9824826121330261,39,64,20.425092697143555,25,59,-0.6000000238418579,-1.0,65.0,0.6000000238418579
12,1.0007513761520386,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.2026936262845993,0.030422866344451904,0.010854579508304596,0.23821592330932617,0.025161266326904297,0.012806564569473267,0.10188919305801392,0.00992584228515625,0.007325601764023304,21,28,0.5802731513977051,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3819134831428528,0.051182959228754044,0.020259179174900055,7.558815002441406,0.8296840190887451,0.3995698392391205,14.50674057006836,1.1660130023956299,1.0347235202789307,36,64,23.33449363708496,24,58,-0.800000011920929,-1.0,65.0,0.800000011920929
13,1.0001085996627808,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.1842135637998581,0.028850674629211426,0.009933741763234138,0.21752093732357025,0.02796033024787903,0.011817492544651031,0.1236754059791565,0.009735822677612305,0.008834497071802616,20,29,0.5637661218643188,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.32305002212524414,0.04553968459367752,0.01729154959321022,4.744710445404053,0.573979377746582,0.2526441812515259,9.629344940185547,0.7498385906219482,0.6867860555648804,37,64,15.325654029846191,24,57,0.6000000238418579,1.0,65.0,0.6000000238418579
14,1.0009386539459229,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.16310827434062958,0.031130731105804443,0.008935477584600449,0.27578064799308777,0.030991166830062866,0.014861168339848518,0.10695257782936096,0.011079132556915283,0.0076937079429626465,22,29,0.5886231660842896,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.301891952753067,0.049368999898433685,0.01632937788963318,5.973335266113281,0.7582978010177612,0.3188353180885315,13.95396614074707,1.1443779468536377,0.9949632883071899,38,64,21.055622100830078,25,59,-0.6000000238418579,-1.0,65.0,0.6000000238418579
15,1.0018348693847656,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.1880878359079361,0.026965558528900146,0.010040057823061943,0.18847042322158813,0.023608684539794922,0.010250791907310486,0.12329167127609253,0.009464621543884277,0.008808772079646587,20,28,0.5340391397476196,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.359973669052124,0.04765104874968529,0.01911448873579502,5.381377220153809,0.5950376391410828,0.28486311435699463,9.689605712890625,0.7465933561325073,0.6912927627563477,36,64,16.075716018676758,24,58,0.800000011920929,1.0,65.0,0.800000011920929
16,1.000496745109558,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.2001316249370575,0.03023776412010193,0.010742944665253162,0.24002209305763245,0.026135385036468506,0.012925202026963234,0.10207322239875793,0.01006394624710083,0.007340296171605587,21,28,0.5806663036346436,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.37387198209762573,0.05084222927689552,0.019876966252923012,7.345130443572998,0.8213219046592712,0.38873711228370667,14.443037033081055,1.163589358329773,1.0301401615142822,36,64,23.04265785217285,24,59,-0.800000011920929,-1.0,65.0,0.800000011920929
17,1.0000834465026855,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.21151167154312134,0.030046582221984863,0.0112595334649086,0.23310759663581848,0.022918999195098877,0.012490352615714073,0.101032555103302,0.009754300117492676,0.007263151928782463,20,27,0.5811055898666382,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3972036838531494,0.051454659551382065,0.020945394411683083,7.839571952819824,0.8400019407272339,0.4137236177921295,14.585479736328125,1.1690144538879395,1.0403882265090942,36,64,23.714767456054688,23,58,-0.800000011920929,-1.0,65.0,0.800000011920929
18,1.002428412437439,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.20683296024799347,0.027484416961669922,0.010986115783452988,0.17944878339767456,0.02216517925262451,0.009759312495589256,0.12191033363342285,0.009288549423217773,0.008709518238902092,20,27,0.5416613817214966,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3877042233943939,0.04844868555665016,0.020398782566189766,5.776142120361328,0.6085858345031738,0.3047403395175934,9.773311614990234,0.7486995458602905,0.6973492503166199,35,64,16.5887393951416,23,57,0.800000011920929,1.0,65.0,0.800000011920929
19,0.9998214244842529,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.1004701629281044,0.02188076078891754,0.0055723232217133045,0.3635120093822479,0.035008370876312256,0.019096869975328445,0.12424066662788391,0.011639714241027832,0.00887233391404152,23,34,0.6236425638198853,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.1763399988412857,0.034052856266498566,0.009668877348303795,3.1504931449890137,0.5499415397644043,0.17222806811332703,12.223428726196289,1.0711382627487183,0.8706635236740112,42,64,16.162391662597656,27,49,-0.4000000059604645,-1.0,65.0,0.4000000059604645
20,1.0019248723983765,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.06745213270187378,0.014502227306365967,0.0037369579076766968,0.4313284456729889,0.03138697147369385,0.02208917774260044,0.10785332322120667,0.010331690311431885,0.007576612755656242,24,38,0.6253788471221924,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.10540042817592621,0.020464591681957245,0.005782191641628742,1.1031821966171265,0.23464412987232208,0.061610233038663864,7.061513900756836,0.6857524514198303,0.5027000308036804,46,64,8.545540809631348,29,55,0.20000000298023224,1.0,65.0,0.20000000298023224
21,0.9977592825889587,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.09754350781440735,0.021469473838806152,0.00541570782661438,0.32523074746131897,0.03165543079376221,0.017074840143322945,0.13692247867584229,0.01051628589630127,0.009715283289551735,23,34,0.5914801955223083,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.17318233847618103,0.03336874395608902,0.009493890218436718,2.580366373062134,0.4345164895057678,0.1408097892999649,8.794837951660156,0.7362030744552612,0.626460611820221,42,64,12.034948348999023,27,52,0.4000000059604645,1.0,65.0,0.4000000059604645
22,1.000327467918396,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.1853262335062027,0.030088990926742554,0.010020332410931587,0.2575902044773102,0.02932518720626831,0.013898936100304127,0.10417675971984863,0.01064002513885498,0.007494505029171705,21,29,0.5880802869796753,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3370242714881897,0.049221210181713104,0.01808229647576809,6.553244590759277,0.7868618369102478,0.3484605848789215,14.17776107788086,1.1532970666885376,1.0110573768615723,37,64,21.920135498046875,24,59,-0.800000011920929,-1.0,65.0,0.800000011920929
23,1.00123131275177,0.00017371668945997953,4.8876856453716755e-05,1.9815512132481672e-05,0.20160368084907532,0.027785956859588623,0.010714849457144737,0.18123531341552734,0.021920442581176758,0.009845185093581676,0.12259963154792786,0.009388506412506104,0.008759752847254276,20,27,0.5386927723884583,5.840900121256709e-05,1.94058520719409e-05,6.811192633904284e-06,0.3736332952976227,0.04774999991059303,0.019755171611905098,5.554670333862305,0.6007033586502075,0.29358524084091187,9.718944549560547,0.7469967603683472,0.6934288144111633,36,64,16.294811248779297,23,58,0.800000011920929,1.0,65.0,0.800000011920929
